,questions,answers,correct_answers
281,What is the place of birth of the performer of song Damage (Pharoahe Monch Song)?,Not specified.,Queens
282,Where did Henry C. Lord's father graduate from?,The context does not provide information about where Henry C. Lord's father graduated from.,Bowdoin College
283,"Which film whose director is younger, Uncharted Seas or Something Of Value?",Uncharted Seas.,Something Of Value
284,"Which film has the director born later, My Own Private Idaho or Lucignolo?",My Own Private Idaho.,Lucignolo
285,"What is the date of birth of Prince Bernhard Of Orange-Nassau, Van Vollenhoven's father?",26 August 1872.,"April 30, 1939"
286,"Are the bands The Catheters and Dark At Dawn, from the same country?",No.,no
287,Who is the paternal grandmother of Ingegerd Olofsdotter Of Sweden?,Ingegerd Olofsdotter of Sweden's paternal grandmother is Sigrid the Haughty.,Sigrid the Haughty
288,Where was the place of death of the creator of Conan The Adventurer (1992 Tv Series)?,Texas.,Cross Plains
289,Are the directors of films The Swordsman (Upcoming Film) and Shopworn both from the same country?,Yes.,no
290,Are The Man Who Knew Too Much (1956 Film) and Man On Wire both from the same country?,No.,yes
291,What is the place of birth of the director of film The Fj Holden?,"Sydney, Australia.","Sydney, Australia"
292,"Who was born later, Lisbeth Cathrine Amalie Rose or Princess Raiyah Bint Hussein?",Princess Raiyah Bint Hussein.,Princess Raiyah Bint Hussein
293,Where was the performer of song Step Into The Light (Myra Song) born?,"Los Angeles, California.",California
294,Which country the director of film One Night At Mccool'S is from?,Israel.,Norwegian
295,"Who is the paternal grandfather of Beatrice I, Abbess Of Quedlinburg?",Henry III.,Conrad II
296,"Who is the paternal grandmother of John Iii, Duke Of Cleves?",Elizabeth of Nevers.,Elizabeth of Nevers
297,Where was the place of death of George Thomas Orlando Bridgeman's father?,"Weston Park, Staffordshire.",Weston Park
298,What nationality is Imperial Noble Consort Chunhui's husband?,Chinese.,Qing dynasty
299,"Which film has the director who died later, Say It With Flowers or Boot Hill Bandits?",Say It With Flowers.,Boot Hill Bandits
300,"Who is younger, Nicolas Görtler or Michel De Salzmann?",Nicolas Görtler.,Nicolas Görtler
301,Which country Anthemiolus's father is from?,Italy.,Roman Empire
302,Where was the place of burial of the performer of song This Time (Waylon Jennings Song)?,Berlin.,Arizona
303,"Who is Charles D'Orléans, Duke Of Penthièvre's paternal grandfather?","Louis Philippe II, Duke of Orléans.","Louis Philippe II, Duke of Orléans"
304,"Which film has the director who is older than the other, Judy Berlin or Tonight At Twelve? ",Judy Berlin.,Tonight At Twelve
305,"What nationality is Ferdinand Of Portugal, Duke Of Guarda's mother?",Portuguese.,Spanish
306,"Did the movies Passer L'Hiver and In My Skin, originate from the same country?",Yes.,yes
307,"Are both director of film Germany, Year Zero and director of film Cross Shot from the same country?",No.,yes
308,"Which film has the director who was born first, Ghost-Town Gold or The Musician Killer?",Ghost-Town Gold.,Ghost-Town Gold
309,What is the place of birth of Consort Liang's husband?,Shenyang.,Chinese
310,Where did Muza Niyazova's husband die?,Turkmenistan.,Ashgabat
311,"Are both stations, Muzaffargarh Railway Station and Raisan Railway Station, located in the same country?",Yes.,yes
312,Do John Amyas Alexander and Albert Seward share the same nationality?,"No, they do not share the same nationality.",yes
313,"Who is younger, Bernard Chambaz or Tibor Pézsa?",Tibor Pézsa.,Bernard Chambaz
314,Which award the composer of film Bhookh (1947 Film) won?,Not specified in the context.,Sangeet Natak Akademi Award
315,"Which film has the director who was born first, The Ballad Of Gregorio Cortez or Naiyya?",Naiyya.,The Ballad Of Gregorio Cortez
316,"Which film has the director who is older, The Boy Turns Man or A Strange Adventure?",A Strange Adventure.,A Strange Adventure
317,"Who is Joan, Countess Of Chiny's paternal grandfather?","Otto I, Count of Chiny.","Louis III, Count of Chiny"
318,"Where was the father of Prince Charles Louis, Duke Of Chartres born?",Madrid.,Rabat
319,"Where was the place of burial of Ælfgar, Earl Of Mercia's mother?",Sarre Anglo-Saxon cemetery.,Coventry
320,Which country Dexter Young's mother is from?,China.,China
321,Who is the spouse of the performer of song Ängeln I Rummet?,Efva Attling.,Efva Attling
322,Where was the performer of song Égérie (Song) born?,La Trinité.,La Trinité
323,"Who is Thomas Stafford, 3Rd Earl Of Stafford's father?","The context does not provide information about Thomas Stafford, 3rd Earl of Stafford's father.","Hugh de Stafford, 2nd Earl of Stafford"
324,What is the place of birth of the director of film Stopp! Tänk På Något Annat?,Åke Ohberg was born in Sweden.,Västerås
325,Who is the child of the director of film Lo Que Le Pasó A Reynoso?,Leopoldo Torre Nilsson.,Leopoldo Torre Nilsson
326,"Which film was released more recently, Circus Of Love or The Kiss Of Evil?",Circus Of Love.,The Kiss Of Evil
327,"Which film has the director who is older than the other, One Down, Two To Go or Andrei Svislotskiy? ","One Down, Two To Go.","One Down, Two To Go"
328,Who is the maternal grandfather of Adam Coleman Howard?,Jules Lederer.,Jules Lederer
329,"Which film has the director born later, Under The Lantern or Darling Of The Gods?",Under The Lantern.,Under The Lantern
330,"Which film has the director who was born first, Slim Carter or Thendral Veesum?",Thendral Veesum.,Thendral Veesum
331,"Which film has the director who died first, A Dream Or Two Ago or Why Leave Home??",A Dream Or Two Ago.,A Dream Or Two Ago
332,Where did the director of film Vestire Gli Ignudi die?,"The context does not provide information about where the director of ""Vestire Gli Ignudi"" died.",Paris
333,"Which film has the director died earlier, John Jaffer Janardhanan or Kamakalawa?",John Jaffer Janardhanan.,Kamakalawa
334,"Which film has the director died earlier, The Story Of Anastasia or A Mother Of Men?",A Mother Of Men.,A Mother Of Men
335,"Which film was released more recently, Occupation: Dreamland or Ganga Bhavani?",Occupation: Dreamland.,Occupation: Dreamland
336,Who is Frederick Of Luxembourg's paternal grandfather?,Siegfried of Luxembourg.,Wigeric of Lotharingia
337,Who is the father of the director of film Mirage (1972 Film)?,Daniel Alomía Robles.,Daniel Alomía Robles
338,Where did Claudio Silva (Computer Scientist)'s wife graduate from?,The context does not provide information about where Claudio Silva's wife graduated from.,Stony Brook University
339,"Which film has the director born first, Spione or Five Million Look For An Heir?",Five Million Look For An Heir.,Five Million Look For An Heir
340,"Which film was released earlier, Man'S Search For Happiness or Tell It To The Bees?",Man's Search For Happiness.,Man'S Search For Happiness
341,"Which film has the director born first, La Mazurka Del Barone, Della Santa E Del Fico Fiorone or Safe (2012 Film)?","La Mazurka Del Barone, Della Santa E Del Fico Fiorone.","La Mazurka Del Barone, Della Santa E Del Fico Fiorone"
342,"Who lived longer, Antonio Caggiano or Hardyal Singh?",Hardyal Singh.,Antonio Caggiano
343,What is the place of birth of the director of film A Woman'S Face (1938 Film)?,Helsingfors (now Helsinki).,Helsingfors
344,Where did the composer of film The Merry Monahans die?,The context does not provide information on where the composer of The Merry Monahans died.,Studio City
345,"Which school was opened first, Chopasni Senior Secondary School, Jodhpur or Tunku Putra School?","The context does not provide information about the founding dates of Chopasni Senior Secondary School, Jodhpur or Tunku Putra School, so I cannot determine which was opened first.","Chopasni Senior Secondary School, Jodhpur"
346,"Who is Richard Burke, 4Th Earl Of Clanricarde's paternal grandfather?","John Smith de Burgh, 11th Earl of Clanricarde.","Richard Burke, 2nd Earl of Clanricarde"
347,"Which film has the director who was born earlier, Retalhos Da Vida De Um Médico or The Shooting?",Retalhos Da Vida De Um Médico.,Retalhos Da Vida De Um Médico
348,Are Blurt (Magazine) and Maui Nō Ka ʻOi Magazine from the same country?,No.,yes
349,Who is the paternal grandfather of John Ii Of Baden?,Jacob I of Baden.,"Bernard I, Margrave of Baden-Baden"
350,"Which film came out first, Ami Neta Hobo or Hood Of The Living Dead?",Hood Of The Living Dead.,Hood Of The Living Dead
351,"Which film has the director who was born earlier, Buffet Froid or Lost In Africa?",Lost In Africa.,Buffet Froid
352,Who is the spouse of the director of film My Three Merry Widows?,Mapy Cortés.,Mapy Cortés
353,Where did Meritaten's father die?,Akhenaten died in Amarna.,Akhetaten
354,Who is the paternal grandmother of Edward I Of England?,Eleanor of Castile.,Isabella of Angoulême
355,Who is the paternal grandfather of Guy Le Strange?,Henry L'Estrange Styleman Le Strange.,Henry Styleman
356,Who is Germaine Of Foix's paternal grandfather?,Gaston IV of Foix-Grailly.,Gaston IV of Foix
357,"Which film has the director who died earlier, Gold For The Caesars or Heinz In The Moon?",Gold For The Caesars.,Heinz In The Moon
358,"Which film has the director born later, Monsieur Taxi or A Yiddish World Remembered?",A Yiddish World Remembered.,A Yiddish World Remembered
359,What is the date of death of the director of film Escándalo De Estrellas?,[Final Answer]: Unable to provide an answer with the given context.,"August 7, 2004"
360,"Which film has the director born first, Trouble With Jolanthe or Children Of Fortune?",Trouble With Jolanthe.,Trouble With Jolanthe
361,Where was the composer of film Terror In The Aisles born?,Italy.,California
362,"Which film whose director is younger, Roland The Mighty or Graves Without A Name?",Without Name.,Graves Without A Name
363,"What is the cause of death of performer of song Oh Boy, Oh Boy, Oh Boy!?",laryngeal cancer.,laryngeal cancer
364,"Which film has the director who is older, When You'Re Strange or Vzdušné Torpédo 48?",When You're Strange.,Vzdušné Torpédo 48
365,"What nationality is Beatrice I, Countess Of Burgundy's husband?",German.,Germany
366,"Which film was released first, Taxi Zum Klo or Saajan Bina Suhagan?",Saajan Bina Suhagan.,Saajan Bina Suhagan
367,"Which film has the director born first, Şaban, Son Of Şaban or East/West?","Şaban, Son Of Şaban.","Şaban, Son Of Şaban"
368,Where did George Lane-Fox (Mp)'s father study?,"Christ's College, Cambridge.","Christ's College, Cambridge"
369,"Which film has the director born first, Stella'S Oorlog or Don Juan In A Girls' School?",Don Juan In A Girls' School.,Don Juan In A Girls' School
370,Where was the place of death of Christiane Vulpius's husband?,Weimar.,Weimar
371,"Which film has the director died earlier, Dialogues Of Exiles or Rhythm And Weep?",Dialogues Of Exiles.,Rhythm And Weep
372,"Which film came out first, My Wife'S Lodger or Ko 2?",My Wife's Lodger.,My Wife'S Lodger
373,"Which film has the director born later, Allos Gia To Ekatommyrio or Elvira'S Haunted Hills?",Elvira's Haunted Hills.,Elvira'S Haunted Hills
374,Who is the uncle of Catherine Allégret?,Yves Allégret.,Marc Allégret
375,Who is the paternal grandfather of George De Salis?,Peter John Fane de Salis.,"Jerome, 4th Count de Salis-Soglio"
376,What is the date of death of Catherine Of Guelders's father?,12 October 1343.,23 February 1473
377,Who is the father of the composer of song I Miss You (Miley Cyrus Song)?,Billy Ray Cyrus.,Billy Ray Cyrus
378,What is the place of birth of the director of film Operation Secret?,"New York, New York.",New York
379,Who was born first out of Alexey Volkonsky and Wanderley Oliveira?,Wanderley Oliveira.,Wanderley Oliveira
380,Where did Bianca Riario's father die?,Beaulieu-sur-Loire.,Forlì
381,Where was the director of film Bollywood Calling born?,India.,Hyderabad
382,"Are Doboy Railway Station and Adamstown Railway Station, New South Wales located in the same country?",Yes.,yes
383,"Which film has the director born earlier, Idols Of The Radio or Solos En La Madrugada?",Idols Of The Radio.,Idols Of The Radio
384,Who is the mother of the performer of song Feel Good (Robin Thicke Song)?,"The context does not provide information about the mother of the performer of the song ""Feel Good"" by Robin Thicke.",Gloria Loring
385,Where did Tamara Imeretinsky's father graduate from?,Lancing College.,Lancing College
386,"Who died first, Louis-René De Caradeuc De La Chalotais or Hermann Friedrich Graebe?",Louis-René De Caradeuc De La Chalotais.,Louis-René De Caradeuc De La Chalotais
387,Where was the place of death of James Adam (Architect)'s father?,London.,Edinburgh
388,"Where did Edmund Tudor, 1St Earl Of Richmond's wife graduate from?",The context does not provide information about where Lady Katherine Percy graduated from.,St John's College
389,"Which film was released more recently, Aami or Bitch Slap?",Bitch Slap.,Aami
390,Who is Busba Kitiyakara's paternal grandfather?,Mom Chao Nakkhatra Mangala Kitiyakara.,Kitiyakara Voralaksana
391,Who is the father of the director of film Ae Dil Hai Mushkil?,Yash Johar.,Yash Johar
392,Who was born first out of Ramsay Anderson and Fernand Fédronic?,"The context does not provide information about Ramsay Anderson or Fernand Fédronic, so the answer cannot be determined.",Ramsay Anderson
393,Are the directors of films Scuola Di Ladri and Pensione Paura both from the same country?,No.,yes
394,What is the place of birth of the director of film Dawn Of Life?,"San Juan, Puerto Rico.","San Juan, Puerto Rico"
395,Where was the husband of Jeanne Raunay born?,The context does not provide information about Jeanne Raunay or her husband.,Évreux
396,Are the directors of films The Edifying And Joyous Story Of Colinot and Cold Moon both from the same country?,Yes.,yes
397,What is the place of birth of the performer of song Pluto (Song)?,Berlin.,Reykjavík
398,What is the place of birth of Princess Margaretha Of Saxony's mother?,Saxony.,Munich
399,Who is the spouse of the director of film West Of Shanghai?,Maureen O'Sullivan.,Maureen O'Sullivan
400,Do director of film Jerry And Tom and director of film Kansas City Princess share the same nationality?,No.,no
401,"Which film was released earlier, Amelie Or The Time To Love or Beginners?",Amelie.,Amelie Or The Time To Love
402,What is the cause of death of composer of song Look At Me (Xxxtentacion Song)?,He was fatally shot in a robbery.,shot
403,"Which film came out first, Natürlich Die Nelli or Cairo Declaration (Film)?",Natürlich Die Nelli.,Natürlich Die Nelli
404,Who is Constantine Palaiologos (Son Of Andronikos Ii)'s maternal grandmother?,Anna of Hungary.,Elizabeth the Cuman
405,"Where was the performer of song Lucky Me, Lucky You born?",South Korea.,Abilene
406,What is the place of birth of the creator of Miss Seventeen?,"Tehran, Iran.",Tehran
407,Who is the mother of the director of film Brenda Brave?,The context does not provide information about the mother of Brenda Brave.,Käbi Laretei
408,Where was the place of burial of Meritites I's husband?,Giza.,Great Pyramid of Giza
409,Who is Wisigard's father-in-law?,Theudebert I.,Theuderic I
410,Where was the place of death of Duchess Maria Dorothea Of Württemberg's father?,Kirchheim unter Teck.,Kirchheim unter Teck
411,Where was the director of film The Pride Of Jennico (Film) born?,"Del Norte, Colorado.",Colorado
412,Where was the director of film Gently My Songs Entreat born?,Vienna.,Viennese
413,What is the cause of death of Eleanor De Clare's husband?,He was executed for high treason.,"hanged, drawn and quartered"
414,What is the cause of death of performer of song Voi Voi?,"The context does not provide information about the cause of death of the performer of the song ""Voi Voi.""",illness
415,"Which film has the director died first, Resan Till Dej or Rocking Moon?",Resan Till Dej.,Rocking Moon
416,"Which film has the director born later, Christ Walking On The Water or 45 Fathers?",Christ Walking On The Water.,45 Fathers
417,Are both directors of films Breslin And Hamill: Deadline Artists and Jean The Tenant from the same country?,No.,yes
418,Are Bal Vidyalaya (Kota) and Loreto House both located in the same country?,No.,yes
419,"When did Engelbert, Count Of Nevers's mother die?",21 June 1483.,21 June 1483
420,"Which film has the director died later, Excursion Train or Bad Day At Black Rock?",Excursion Train.,Bad Day At Black Rock
421,"Which film has the director who died later, Emanuelle And The Last Cannibals or Hostile Country?",Emanuelle And The Last Cannibals.,Emanuelle And The Last Cannibals
422,"Which film has the director died later, Just Like A Woman (1939 Film) or Madigan'S Millions?",Madigan's Millions.,Madigan'S Millions
423,Why did the performer of song Ludlow Massacre (Song) die?,Woody Guthrie died from complications of Huntington's disease.,Huntington's disease
424,"Which film has the director who died later, Cooee And The Echo or Sweepings?",Cooee And The Echo.,Sweepings
425,"Which film has the director born earlier, The Newest Pledge or Más Allá De La Aventura?",Más Allá De La Aventura.,Más Allá De La Aventura
426,Where was the director of film Slingshot (Film) born?,"Suffield, Connecticut.","Suffield, Connecticut"
427,"Which film has the director who was born first, I Come With The Rain or A Question Of Attribution?",A Question Of Attribution.,A Question Of Attribution
428,"Are Coal City, Illinois and Lash Kenar, Nur both located in the same country?",No.,no
429,Who is the mother of Olaf (Ii) Haraldsen?,Ragnild Magnusdotter.,Ragnild Magnusdotter
430,What nationality is Florent Of Hainaut's mother?,Flemish.,Germany
431,Where was the director of film The Love Captive born?,"Posen, Germany (now Poznań, Poland).",Poznań
432,Are the directors of both films Der Blindgänger and Hotel Desire from the same country?,No.,yes
433,Who is the spouse of the director of film Noc Nevěsty?,The context does not provide information about the director of the film Noc Nevěsty or their spouse.,Alena Mihulová
434,"Which film has the director who died later, The Death Kiss or Her Luck In London?",The Death Kiss.,Her Luck In London
435,"Which film whose director is younger, The Devil'S Pass Key or La Bella Di Lodi?",La Bella Di Lodi.,La Bella Di Lodi
436,Where did the composer of film Henry V (1944 Film) die?,Ischia.,Ischia
437,"Which film has the director who is older, Johnny Concho or One Minute To Twelve?",Johnny Concho.,One Minute To Twelve
438,"Which album came out earlier, Was I The Wave? or Kingdom Of Rock?",Kingdom Of Rock.,Was I The Wave?
439,"Which film has the director born later, Cyclone Of The Saddle or Blind Corner?",Blind Corner.,Blind Corner
440,Where did the director of film The Gallant Lords Of Bois-Doré die?,Paris.,Paris
441,"Which film came out earlier, It'S Our Life! or Maximum Ride (Film)?",Mamma (also released as Our Life Is Now).,It'S Our Life!
442,Where did the director of film The Boy Who Cried Werewolf (1973 Film) die?,"The context does not provide information on where Nathan H. Juran, the director of The Boy Who Cried Werewolf (1973 Film), died.",Palos Verdes
443,Where was the director of film Los Motivos De Luz born?,"Madrid, Spain.",France
444,Where was the performer of song Fast Car (Namie Amuro Song) born?,"Naha, Okinawa, Japan.","Naha, Okinawa"
445,"Who is Charles Gordon, 2Nd Earl Of Aboyne's paternal grandmother?",Margaret Stafford.,Lady Anne Campbell
446,Where was the director of film En Aasai Rasave born?,"Mallingapuram near Pannaipuram, Theni District, Tamil Nadu.",Theni
447,Where was the director of film High (Film) born?,"Johannesburg, South Africa.","Johannesburg, South Africa"
448,Where was the place of death of Ginevra D'Este's husband?,Italy.,Rimini
449,What is the place of birth of the director of film Tři Chlapi V Chalupě?,Josef Mach.,Prostějov
450,"Who died first, Olaf Everson or Abdul Wahab Khan Tarzi?",Abdul Wahab Khan Tarzi.,Abdul Wahab Khan Tarzi
451,"Which film has the director who died later, Good Morning, Little Countess or Vogue La Galère?","Good Morning, Little Countess.",Vogue La Galère
452,"Who died later, Stephen De Staebler or Samuel Arthur Saunder?",Samuel Arthur Bohne.,Stephen De Staebler
453,Where was the husband of Esperanza Osmeña born?,Cebu.,Cebu
454,Where was the place of death of the director of film Scugnizzi?,"Fregene, near Rome.",Rome
455,"Which film has the director who was born later, The Daughter Of Rosie O'Grady or The Whistle (Film)?",The Daughter Of Rosie O'Grady.,The Daughter Of Rosie O'Grady
456,Do both films Happiness Of Three Women and Percy (1925 Film) have the directors from the same country?,Yes.,yes
457,"Which film has the director who was born earlier, Invasion 1897 or Nene Raju Nene Mantri?",Invasion 1897.,Nene Raju Nene Mantri
458,"Who did Joan Ramon Ii, Count Of Cardona marry?","The context does not provide information about who Joan Ramon II, Count Of Cardona married.",Joana de Prades
459,"Who is the paternal grandmother of Sudeley Hanbury-Tracy, 3Rd Baron Sudeley?",Henrietta Susanna Tracy.,Henrietta Susanna Tracy
460,"Which album was released more recently, The Arockalypse or Because The Internet?",Because The Internet.,Because The Internet
461,"Are the movies On A Clear Day You Can See Forever (Film) and Education Of A Prince, from the same country?",No.,no
462,"Which film whose director is younger, Torments Of The Night or Dirty Dancing?",Torments Of The Night.,Dirty Dancing
463,Where did the director of film Music In Darkness die?,Sweden.,Fårö
464,Which country Aleksander Koniecpolski (1620–1659)'s father is from?,Poland.,Polish-Lithuanian Commonwealth
465,"Who is Archibald Acheson, 4Th Earl Of Gosford's paternal grandfather?","Archibald Acheson, 2nd Earl of Gosford.","Archibald Acheson, 2nd Earl of Gosford"
466,"Which film was released more recently, The First Seven Years or Cinesound Varieties?",The First Seven Years.,Cinesound Varieties
467,"Where was the place of death of William De Warenne, 2Nd Earl Of Surrey's father?",Lewes.,Lewes
468,"What is the place of birth of the director of film I Love, You Love?",Not specified.,Bratislava
469,"Do director of film Coteau Rouge and director of film Hochelaga, Land Of Souls share the same nationality?",Yes.,yes
470,Where did the director of film Don Juan (1922 Film) die?,[Final Answer]: Unable to provide an answer with the given context.,Westerland
471,Where was the performer of song I See You (Theme From Avatar) born?,London.,London
472,Who is the maternal grandmother of Archduchess Elisabeth Of Austria (1922–1993)?,Archduchess Maria Theresa of Austria.,Infanta Maria Antonia of Portugal
473,"Which film was released more recently, Royal Treasure or When Love Begins?",Royal Treasure.,Royal Treasure
474,"Who is Albert Iv, Prince Of Anhalt-Köthen's paternal grandfather?","Albert II, Prince of Anhalt-Zerbst.","Albert II, Prince of Anhalt-Zerbst"
475,"Which film has the director who was born later, Henry Goes Arizona or The Blue Collar Worker And The Hairdresser In A Whirl Of Sex And Politics?",The Blue Collar Worker And The Hairdresser In A Whirl Of Sex And Politics.,The Blue Collar Worker And The Hairdresser In A Whirl Of Sex And Politics
476,Who is the father of the director of film Plunkett & Macleane?,Ridley Scott.,Ridley Scott
477,"Who was born earlier, Ela Gandhi or Sebastián Borensztein?",Ela Gandhi.,Ela Gandhi
478,"Which film has the director who was born earlier, Red Sparrow or The Flying Liftboy?",Red Sparrow.,The Flying Liftboy
479,"Which film was released first, The Cemetery Club or Uzhaikkum Karangal?",Uzhaikkum Karangal.,Uzhaikkum Karangal
480,Who is Wang Xijie's father-in-law?,Wanli Emperor.,Longqing
481,What nationality is the director of film Rise Above: The Tribe 8 Documentary?,Australian.,United States
482,Who was born first out of Overill Dwyer-Brown and Dragan Načevski?,"The context does not provide information about Overill Dwyer-Brown or Dragan Načevski, so I cannot determine who was born first.",Overill Dwyer-Brown
483,Which country the director of film I See You (2006 Film) is from?,Australia.,India
484,Who is Colgú Mac Faílbe Flaind's uncle?,Tnúthgal mac Donngaile.,Fíngen mac Áedo Duib
485,Which country Gilduin Of Le Puiset's father is from?,France.,France
486,"Which film has the director who is older than the other, The Enchanted Desna or Neal Of The Navy? ",The Enchanted Desna.,Neal Of The Navy
487,"Which film has the director born later, Feel My Pulse or Panique?",Feel My Pulse.,Panique
488,"Which film has the director who was born first, Hanuman Patal Vijay or Young And Dangerous: The Prequel?",Hanuman Patal Vijay.,Hanuman Patal Vijay
489,"Which film was released first, Heaven Help Us or Ghar Ki Rani?",Ghar Ki Rani.,Ghar Ki Rani
490,"Which film has the director who died first, The Boss And The Worker or Claire'S Knee?",The Boss And The Worker.,The Boss And The Worker
491,"Who lived longer, Louis-Armand-Constantin De Rohan or Adalberto Pereira Dos Santos?",Adalberto Pereira Dos Santos.,Adalberto Pereira Dos Santos
492,Who is the mother-in-law of Gyrid Of Sweden?,[Final Answer]: Unable to provide an answer with the given context.,Thyra
493,Who is the maternal grandfather of Prince Dmitri Alexandrovich Of Russia?,Grand Duke Paul Alexandrovich of Russia.,Alexander III of Russia
494,Where was the place of burial of the director of film The Last Company?,Glendale's Forest Lawn Memorial Park Cemetery.,Forest Lawn Memorial Park
495,Do both films Fig Leaves and Boogeyman (Film) have the directors that share the same nationality?,Yes.,no
496,"Which film has the director who is older, Road To Singapore or Melodies Of Vera Quarter?",Unable to determine.,Road To Singapore
497,Who is Prince Harald Of Schaumburg-Lippe's maternal grandfather?,"Friedrich Christian, Count of Schaumburg- Lippe.",Prince Harald of Denmark
498,Where was the place of burial of Gjon Kastrioti Ii's father?,[Final Answer]: Unable to provide an answer with the given context.,Lezhë
499,Who is Albert G. Simms's father-in-law?,Mark Hanna.,Mark Hanna
500,"Which film has the director who was born first, Piccoli Fuochi or The Nice Guys?",Piccoli Fuochi.,Piccoli Fuochi
501,"Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?",I'Ll Be Going Now.,I'Ll Be Going Now
502,"Do both films, The Wild Frontier (Film) and The Sundowners (1960 Film), have the directors who are from the same country?",Yes.,yes
503,"Which film has the director who was born later, Garde À Vue or Ivide Thudangunnu?",Garde À Vue.,Garde À Vue
504,What nationality is Matilda Of Frisia's husband?,Frankish.,France
505,"Who is Joan Of Valois, Duchess Of Alençon's maternal grandfather?",Charles of Valois.,Charles VI of France
506,Where was the mother of Emilie Hegh Arntzen born?,The context does not provide information about where the mother of Emilie Hegh Arntzen was born.,Oslo
507,"Which film was released earlier, Extreme Ops or Puberun?",Extreme Ops.,Puberun
508,"Which film has the director died earlier, Dynamite Smith or A Son Of Satan?",Dynamite Smith.,Dynamite Smith
509,Which country the director of film West 32Nd is from?,Israel.,American
510,Who is Iynefer Ii's mother-in-law?,Nefertkau III.,Meresankh II
511,"Which film has the director who was born first, En Kvinde Er Overflødig or Aakrosh (2010 Film)?",En Kvinde Er Overflødig.,En Kvinde Er Overflødig
512,Who is Isma'Il Ibn Ja'Far's paternal grandmother?,Fatimah bint Muhammad.,Farwah bint al-Qasim
513,Where was the director of film The 3 Rooms Of Melancholia born?,Finland.,Helsinki
514,What is the place of birth of the director of film My Country'S Wings?,"Valparaíso, Chile.",Valparaíso
515,Where was the keyboardist of Xyz (English Band) born?,The context does not provide information about the keyboardist of Xyz (English Band) or their birthplace.,"Kingsbury, London"
516,Where was the place of death of the director of film The Stone Rider?,The context does not provide information regarding the place of death of the director of film The Stone Rider.,Königstein im Taunus
517,When did Prince Gustav Of Thurn And Taxis (1848–1914)'s father die?,10 November 1871.,10 November 1871
518,"Which film was released more recently, A Scream From Silence or Das Spielzeug Von Paris?",A Scream From Silence.,A Scream From Silence
519,"Where was the mother of Elizabeth Of Denmark, Electress Of Brandenburg born?",Torgau.,Torgau
520,Where was the director of film Aylwin (Film) born?,"Weston-super-Mare, Somerset.","Weston-super-Mare, Somerset"
521,What is the date of death of Siemowit V Of Masovia's mother?,20 April 1434.,20 April 1434
522,"Which film has the director died later, Sailor'S Luck or Lutaru Lalna?",Lutaru Lalna.,Lutaru Lalna
523,Where did the director of film Barracuda (1978 Film) study?,The context does not provide information about where the director of Barracuda (1978 Film) studied.,Florida Atlantic
524,Where was the husband of Lou Henry Hoover born?,"Herbert Hoover was born in West Branch, Iowa.","West Branch, Iowa"
525,What nationality is Julia Parker (Astrologer)'s husband?,British.,British
526,"Who was born first, Emmanuel Goffi or Mariano Pasini?",Mariano Pasini.,Emmanuel Goffi
527,"Which one was established first, Besix or Circus Herman Renz?",Circus Herman Renz.,Besix
528,"Which film was released earlier, Nesmrtelná Teta or Illang: The Wolf Brigade?",Nesmrtelná Teta.,Nesmrtelná Teta
529,Where was the place of burial of Neith (Wife Of Pepi Ii)'s husband?,Saqqara.,Saqqara
530,"Who was born later, Bradley Tyler Johnson or Bernardo Freitas?",Bernardo Freitas.,Bernardo Freitas
531,Do both films A Trial In Prague and Three Strangers have the directors that share the same nationality?,No.,yes
532,Are Bilthoven and Herveld both located in the same country?,Yes.,yes
533,Which country the composer of song Seconds (Song) is from?,Ireland.,Irish
534,Where was the place of death of Princess Louise Auguste Of Denmark's mother?,Copenhagen.,Celle
535,Who is the spouse of the director of film På Solsiden?,Otto Carlmar.,Otto Carlmar
536,"Which film has the director died later, Marriage In Name Only or Mille Chilometri Al Minuto!?",Marriage In Name Only.,Marriage In Name Only
537,Who is the paternal grandfather of Yi Hong?,Emperor Gojong of the Korean Empire.,Prince Yi Kang
538,"Who is the paternal grandfather of Sir Thomas Lawley, 3Rd Baronet?","Sir Francis Lawley, 2nd Baronet.","Sir Thomas Lawley, 1st Baronet"
539,"Who is the paternal grandfather of George Lyon, 5Th Lord Glamis?","John Lyon, 4th Lord Glamis.","John Lyon, 3rd Lord Glamis"
540,Where did the director of film Até Que A Sorte Nos Separe 2 study?,Columbia College Hollywood and University of California.,University of California
541,"Which film was released more recently, How To Make Love To A Negro Without Getting Tired or Frisco Kid?",How to Make Love to a Negro Without Getting Tired.,How To Make Love To A Negro Without Getting Tired
542,"Who is the paternal grandmother of Jeanne Of Bar, Countess Of Marle And Soissons?",Jeanne de Bar.,"Marie I de Coucy, Countess of Soissons"
543,"Which film has the director who died later, September Affair or A Gathering Of Eagles?",September Affair.,A Gathering Of Eagles
544,"Which film was released more recently, Bidasari or Tangled Trails?",Bidasari.,Bidasari
545,"Which film has the director who is older, King Of The Zombies or Mon Oncle Benjamin?",King Of The Zombies.,King Of The Zombies
546,Where does Kitty Dukakis's husband work at?,Northeastern University and UCLA.,UCLA
547,"Which film came out first, Poznań '56 or The Last Day Of School Before Christmas?",Poznań '56.,The Last Day Of School Before Christmas
548,"Which film has the director died later, Saturday Night Out or An Italian Romance?",An Italian Romance.,An Italian Romance
